Location,state,direction (alpha),dirDEG,windspeed,latitude,longitude,rainTODyes,rainTODno,,,,rainfall,mintemp,maxtemp,avghumiditymorning ,avghumidityafternoon,avgwindspeed,avgpressure9am,avgpressure3pm
Albury,New South Wales,W,270,37.1049505,-36.0733,146.9144,2394,617,,,,576.34,9.53060416,22.64087157,74.07060376,47.86939314,32.97739362,1018.369621,1015.760752
BadgerysCreek,New South Wales,SW,225,34.26567164,-33.8817,150.7442,2345,583,,,,642.14,11.1317188,24.03120805,76.89576988,51.38185511,33.60040914,1018.461598,1015.63512
Cobar,New South Wales,SW,225,37.20101781,-31.4997,145.8319,2602,386,,,,336.84,13.14945055,25.87009315,55.15291262,33.87066574,36.75058982,1017.971937,1015.304325
CoffsHarbour,New South Wales,NE,45,41.32960894,-30.3023,153.1189,2084,869,,,,1494.66,14.43710755,23.96538462,67.93812709,62.35185805,39.22792453,1018.215308,1015.829292
Moree,New South Wales,NNE,22.5,40.23255814,-29.465,149.8344,2460,394,,,,465.26,12.90585301,26.95054835,61.37670549,35.80858855,39.89017735,1018.312429,1014.928624
Newcastle,New South Wales,,,,-32.9167,151.75,2224,731,,,,940.84,13.76000743,24.1010699,74.06142857,57.36268444,#DIV/0!,#DIV/0!,#DIV/0!
NorahHead,New South Wales,S,180,51.6779661,-33.2817,151.5678,2121,808,,,,992.14,15.35548083,22.58893746,74.59075574,67.52119785,42.18305085,1018.258148,1016.013331
NorfolkIsland,New South Wales,SE,135,39.95637584,-29.0333,167.95,2045,919,,,,927.04,16.871875,21.83025266,70.78129161,67.83671433,42.6074199,1017.597501,1015.856801
Penrith,New South Wales,SE,135,31.30555556,-33.7511,150.6942,2369,595,,,,644.76,12.57744935,24.76436629,75.82262997,49.0989899,31.8073302,#DIV/0!,#DIV/0!
Richmond,Victoria,SE,135,35.95394737,-37.8239,144.9983,2391,560,,,,631.06,11.36420207,24.45866444,76.89762712,49,34.86628301,1018.696812,1015.640753
Sydney,New South Wales,W,270,38.77218225,-33.8678,151.21,2471,866,,,,1109.4,14.86682635,23.00197487,68.22198859,54.69438607,41.7575889,1018.343906,1016.018163
SydneyAirport,New South Wales,S,180,52.82426778,-33.9317,151.1928,2231,774,,,,904.48,14.90172872,23.38391492,64.83471899,53.90482529,47.23427992,1018.361213,1015.972854
WaggaWagga,New South Wales,ENE,67.5,36.33103448,-35.1194,147.3667,2440,536,,,,508.88,9.617181788,23.03187105,67.85695276,42.58657361,36.64810466,1018.510037,1015.859854
Williamtown,Victoria,WNW,292.5,45.84615385,-37.861,144.885,1853,700,,,,916.81,12.78017958,24.00106454,71.77374209,53.93770819,41.67780097,1018.43637,1015.919746
Wollongong,New South Wales,NE,45,41.89958159,-34.4331,150.8831,2269,713,,,,1072,14.93947107,21.46817431,67.66190634,65.12857143,45.69084225,1018.149331,1016.055809
Canberra,Australian Capital Territory,NW,315,43.59271523,-35.2931,149.1269,2789,629,,,,595.32,6.821865889,20.97663851,73.21849985,45.82535047,40.06421426,1018.98648,1016.236299
Tuggeranong,Australian Capital Territory,WNW,292.5,39.74554707,-35.4244,149.089,2430,568,,,,648.78,7.242132982,20.7675453,72.82709506,47.18572373,35.21588255,1018.505622,1015.65568
MountGinini,New South Wales,W,270,51.64583333,-35.3289,148.9383,2088,819,,,,957.06,3.577280434,11.66367593,77.14669739,69.72260901,46.25395075,#DIV/0!,#DIV/0!
Ballarat,Victoria,N,0,47.01414141,-37.5608,143.8475,2247,781,,,,526.88,7.367949984,18.28726555,81.81782047,59.03099242,44.98271851,1017.845093,1016.271201
Bendigo,Victoria,SSE,157.5,36.99811321,-36.75,144.2667,2472,562,,,,491.32,8.593712969,21.62174629,70.54566436,46.47432521,38.85,1018.026281,1015.873135
Sale,Victoria,W,270,50.42788462,-38.1,147.067,2357,643,,,,453.05,8.567420213,20.28228059,78.9187291,56.35370741,42.47977685,1017.815492,1015.889212
MelbourneAirport,Victoria,N,0,54.45541401,-37.6875,144.8406,2356,653,,,,436.9,9.973944832,20.49185776,70.11596135,51.17133333,46.91917168,1018.08767,1016.279096
Melbourne,Victoria,N,0,53.66807165,-37.8142,144.9631,1799,636,,,,455.36,11.77917435,20.76935841,67.54555515,51.18070953,45.6102548,1017.634427,1015.77845
Mildura,Victoria,SSW,202.5,35.89622642,-34.2111,142.1338,2680,327,,,,284.18,10.73157195,24.84094384,64.10379242,35.40232945,37.16877497,1018.771481,1016.262654
Nhil,Victoria,W,270,48.96236559,-36.3333,141.65,1327,242,,,,146.68,8.999809282,22.40515267,73.04259377,44.91926256,42.54243778,1018.537063,1016.395868
Portland,Victoria,W,270,49.30725191,-38.333332,141.6041,1902,1094,,,,758.1,9.586866667,18.05505319,78.71114865,65.99165554,42.05985205,1017.684084,1016.624041
Watsonia,Victoria,SSW,202.5,34.8759542,-37.708,145.083,2261,738,,,,558.06,10.13187875,20.89607843,78.38397329,54.70887338,38.05921938,1018.030229,1016.085045
Dartmoor,Victoria,SSW,202.5,36.3496144,-37.9333,141.283,2021,921,,,,631.52,8.620034014,19.69745418,85.21790723,62.45653736,38.89829932,1018.002479,1016.509885
Brisbane,Queensland,E,90,28.04812834,-27.4678,153.0278,2452,709,,,,994.1,16.42380653,26.44837999,64.04358733,53.91220894,28.21288071,1018.232989,1015.099278
Cairns,Queensland,SE,135,42.67689162,-16.9256,145.7753,2038,950,,,,1715.72,21.22046726,29.55884868,69.93682132,61.75164474,38.03143614,1014.151333,1011.099441
GoldCoast,Queensland,SSE,157.5,48.86914378,-28.0167,153.4,2205,775,,,,1123.28,17.36328614,25.76706231,66.32749504,62.98051519,42.47636986,1017.922113,1015.214643
Townsville,Queensland,ENE,67.5,37.99020568,-19.2622,146.8158,2513,520,,,,1057.18,20.4178736,29.36716025,63.95427632,57.40098684,38.8405701,1015.165493,1011.905691
Adelaide,South Australia,WSW,247.5,35.62197393,-34.9275,138.6,2402,689,,,,484.16,12.57950486,22.89893417,59.7010665,44.8281054,36.49921061,1018.764082,1016.803264
MountGambier,South Australia,N,0,42.0591716,-37.8294,140.7828,2110,921,,,,632.74,8.825477288,19.82899506,75.49273448,57.3290429,42.86646586,1017.937656,1016.375848
Nuriootpa,South Australia,SE,135,39.64439655,-34.468,138.99,2411,592,,,,417.52,9.363242161,21.70413333,66.76025342,45.42556742,40.67226891,1018.910959,1016.790003
Woomera,South Australia,SSE,157.5,44.5819209,-31.2,136.817,2789,202,,,,146.68,13.36372712,26.59670659,53.12750334,28.40241449,44.15656566,1018.632655,1015.969917
Albany,Western Australia,,,,-35.0228,117.8814,2114,902,,,,682.78,12.94843802,20.07099799,74.80541625,67.40791738,#DIV/0!,1018.275721,1016.49728
Witchcliffe,Western Australia,SSE,157.5,41.26785714,-34.03,115.1,2073,879,,,,854.8,10.77506667,21.68624709,71.36475262,57.78018018,40.08501344,1018.39513,1016.732974
PearceRAAF,Western Australia,E,90,49.57197697,-31.663,116.03,2257,505,,,,461,12.30385002,26.05123829,60.82335229,42.07914152,43.5799581,1017.635609,1015.096075
PerthAirport,Western Australia,E,90,52.92605634,-31.944,115.968,2442,567,,,,530.08,12.58035892,25.53323363,58.77567298,41.92320479,44.20182248,1017.890323,1015.366789
Perth,Western Australia,SW,225,36.16643741,-31.9559,115.8606,2548,645,,,,608.68,12.92270592,25.03483709,62.68812814,46.90612245,34.88299875,1017.784398,1015.420457
SalmonGums,Western Australia,SSW,202.5,42.59150327,-32.98,121.65,2483,472,,,,305.66,9.313006757,24.25082742,62.80640809,40.75177066,39.74837161,#DIV/0!,#DIV/0!
Walpole,Western Australia,SE,135,37.78899083,-34.98,116.732,1870,949,,,,819.44,11.80663076,20.45918436,76.11926606,66.31602172,39.81883562,1017.878811,1016.237047
Hobart,Tasmania,NNW,337.5,44.47889374,-42.8833,147.3167,2426,762,,,,510.66,9.07857814,17.86572682,65.62205467,52.94465409,47.53091483,1014.531297,1012.961873
Launceston,Tasmania,NNW,337.5,37.21772429,-41.4444,147.1378,2328,700,,,,609.23,7.836189848,18.95491101,79.5,57.32244224,35.63485201,1015.679279,1013.754213
AliceSprings,Northern Territory,ESE,112.5,39.99228395,-23.7,133.8667,2788,244,,,,267.68,13.14228365,29.24842001,39.69015476,24.13146623,40.53128137,1016.684732,1012.871913
Darwin,Northern Territory,E,90,43.04206501,-12.4381,130.8411,2341,852,,,,1626.02,23.20930451,32.54097744,68.48621554,51.82795362,40.58235481,1011.888784,1008.349107
Katherine,Northern Territory,E,90,39.70639535,-14.4667,132.2667,1295,265,,,,499.37,20.55356442,34.93543563,63.79024716,42.76145553,38.77146546,1012.791122,1008.486078
Uluru,Northern Territory,E,90,40.42349727,-25.3508,131.066,1406,116,,,,119.38,14.46668827,30.38319542,42.66410749,24.12770013,41.2683727,1017.101403,1013.307751